"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 24 14:28:57 GMT 2022","Sun Jul 24 14:28:58 GMT 2022","358","Отправляем сетевые запросы","","","","","Получить список заданий get /challenges",""
"passed","Sun Jul 24 14:28:58 GMT 2022","Sun Jul 24 14:28:59 GMT 2022","585","Отправляем сетевые запросы","","","","","Выполнить GET запрос на `/todos/{id}` 200",""
"passed","Sun Jul 24 14:29:00 GMT 2022","Sun Jul 24 14:29:00 GMT 2022","269","Отправляем сетевые запросы","","","","","Выполнить POST запрос на создание TODO, не пройти проверку в поле doneStatus `/todos` 400",""
"passed","Sun Jul 24 14:28:59 GMT 2022","Sun Jul 24 14:28:59 GMT 2022","286","Отправляем сетевые запросы","","","","","Выполнить HEAD запрос на `/todos` 200",""
"passed","Sun Jul 24 14:28:59 GMT 2022","Sun Jul 24 14:28:59 GMT 2022","267","Отправляем сетевые запросы","","","","","Просмотреть несуществующую задачу get /todo/{id} 404",""
"passed","Sun Jul 24 14:28:58 GMT 2022","Sun Jul 24 14:28:58 GMT 2022","340","Отправляем сетевые запросы","","","","","Выполнить GET запрос на `/todos` 200",""
"passed","Sun Jul 24 14:29:00 GMT 2022","Sun Jul 24 14:29:00 GMT 2022","593","Отправляем сетевые запросы","","","","","Выполнить POST запрос на обновление TODO `/todos/{id}` 200",""
"passed","Sun Jul 24 14:28:58 GMT 2022","Sun Jul 24 14:28:58 GMT 2022","267","Отправляем сетевые запросы","","","","","Не получить список задач с некорреткного эндпоинта get /todo",""
"passed","Sun Jul 24 14:28:59 GMT 2022","Sun Jul 24 14:29:00 GMT 2022","329","Отправляем сетевые запросы","","","","","Выполнить POST запрос на создание TODO `/todos` 201",""
"passed","Sun Jul 24 14:29:00 GMT 2022","Sun Jul 24 14:29:01 GMT 2022","288","Отправляем сетевые запросы","","","","","Выполнить GET запрос на `/todos` с фильтром запроса для вывода задач в статусе сделаны 200",""
